State,County,County FIPS,Agency Name,Agency ORI9
 AL,AUTAUGA ,001,AUTAUGA COUNTY SHERIFF'S OFFICE,AL0040000
 AL,BALDWIN ,003,AUTAUGAVILLE POLICE DEPARTMENT,AL0040200
 AL,BARBOUR ,005,PRATTVILLE POLICE DEPARTMENT,AL0040100
 AL,AUTAUGA ,001,BALDWIN COUNTY SHERIFF'S OFFICE,AL0050000
 AL,BALDWIN ,003,BAY MINETTE POLICE DEPARTMENT,AL0050100
 AL,BARBOUR ,005,DAPHNE POLICE DEPARTMENT,AL0050800
 AL,BIBB ,007,ELBERTA POLICE DEPARTMENT,AL0051000
 AL,BLOUNT ,009,FAIRHOPE POLICE DEPARTMENT,AL0050200
 AL,BULLOCK ,011,FAULKNER STATE COMMUNITY COLLEGE POLICE DEPT,AL0051100
 AL,BUTLER ,013,FOLEY POLICE DEPARTMENT,AL0050300
 AL,CALHOUN ,015,GULF SHORES POLICE DEPARTMENT,AL0050400
 AL,CHAMBERS ,017,LOXLEY POLICE DEPARTMENT,AL0050600
 AL,CHEROKEE ,019,ORANGE BEACH POLICE DEPARTMENT,AL0051200
 AL,CHILTON ,021,ROBERTSDALE POLICE DEPARTMENT,AL0050500
 AL,CHOCTAW ,023,SILVERHILL POLICE DEPARTMENT,AL0050700
 AL,CLARKE ,025,SPANISH FORT POLICE DEPARTMENT,AL0051300
 AL,CLAY ,027,SUMMERDALE POLICE DEPARTMENT,AL0050900
 AL,AUTAUGA ,001,BAKER HILL POLICE DEPARTMENT,AL0060700
 AL,BALDWIN ,003,BARBOUR COUNTY SHERIFF'S OFFICE,AL0060000
 AL,BARBOUR ,005,CLAYTON POLICE DEPARTMENT,AL0060200
 AL,BIBB ,007,CLIO POLICE DEPARTMENT,AL0060300
 AL,BLOUNT ,009,EUFAULA POLICE DEPARTMENT,AL0060100
 AL,BULLOCK ,011,LOUISVILLE POLICE DEPARTMENT,AL0060400
 AL,AUTAUGA ,001,BIBB COUNTY SHERIFF'S OFFICE,AL0070000
 AL,BALDWIN ,003,BRENT POLICE DEPARTMENT,AL0070200
 AL,BARBOUR ,005,CENTREVILLE POLICE DEPARTMENT,AL0070100
 AL,BIBB ,007,WEST BLOCTON POLICE DEPARTMENT,AL0070300
 AL,BLOUNT ,009,WOODSTOCK POLICE DEPARTMENT,AL0070400
 AL,AUTAUGA ,001,BLOUNT COUNTY SHERIFF'S OFFICE,AL0080000
 AL,BALDWIN ,003,BLOUNTSVILLE POLICE DEPARTMENT,AL0080200
 AL,BARBOUR ,005,CLEVELAND POLICE DEPARTMENT,AL0080300
 AL,BIBB ,007,COUNTY LINE PD TRAFFORD,AL0013000
 AL,BLOUNT ,009,HIGHLAND LAKE POLICE DEPT,AL0080500
 AL,BULLOCK ,011,ONEONTA POLICE DEPARTMENT,AL0080100
 AL,BUTLER ,013,SNEAD POLICE DEPARTMENT,AL0080400
 AL,AUTAUGA ,001,BULLOCK COUNTY SHERIFF'S OFFICE,AL0090000
 AL,BALDWIN ,003,UNION SPRINGS POLICE DEPARTMENT,AL0090100
 AL,AUTAUGA ,001,BUTLER COUNTY SHERIFF'S OFFICE,AL0100000
 AL,BALDWIN ,003,GEORGIANA POLICE DEPARTMENT,AL0100200
 AL,BARBOUR ,005,GREENVILLE POLICE DEPARTMENT,AL0100100
 AL,BIBB ,007,MCKENZIE POLICE DEPARTMENT,AL0100300
 AL,AUTAUGA ,001,ANNISTON POLICE DEPARTMENT,AL0110100
 AL,BALDWIN ,003,CALHOUN COUNTY SHERIFF'S OFFICE,AL0110000
 AL,BARBOUR ,005,HOBSON CITY PD ANNISTON,AL0110600
 AL,BIBB ,007,JACKSONVILLE POLICE DEPARTMENT,AL0110200
 AL,BLOUNT ,009,JACKSONVILLE STATE UNIVERSITY POLICE DEPARTMENT,AL0110800
 AL,BULLOCK ,011,OHATCHEE POLICE DEPARTMENT,AL0110700
 AL,BUTLER ,013,OXFORD POLICE DEPARTMENT,AL0110500
 AL,CALHOUN ,015,PIEDMONT POLICE DEPARTMENT,AL0110300
 AL,CHAMBERS ,017,WEAVER POLICE DEPARTMENT,AL0110400
 AL,AUTAUGA ,001,CHAMBERS COUNTY SHERIFF'S OFFICE,AL0120000
 AL,BALDWIN ,003,LAFAYETTE POLICE DEPARTMENT,AL0120100
 AL,BARBOUR ,005,LANETT POLICE DEPARTMENT,AL0120200
 AL,BIBB ,007,VALLEY POLICE DEPARTMENT,AL0120400
 AL,AUTAUGA ,001,CEDAR BLUFF POLICE DEPARTMENT,AL0130200
 AL,BALDWIN ,003,CENTRE POLICE DEPARTMENT,AL0130100
 AL,BARBOUR ,005,CHEROKEE COUNTY SHERIFF'S OFFICE,AL0130000
 AL,BIBB ,007,LEESBURG POLICE DEPARTMENT,AL0130300
 AL,AUTAUGA ,001,CHILTON COUNTY SHERIFF'S OFFICE,AL0140000
 AL,BALDWIN ,003,CLANTON POLICE DEPARTMENT,AL0140100
 AL,BARBOUR ,005,JEMISON POLICE DEPARTMENT,AL0140300
 AL,BIBB ,007,MAPLESVILLE POLICE DEPARTMENT,AL0140200
 AL,BLOUNT ,009,THORSBY POLICE DEPARTMENT,AL0140400
