State,County,property-crime,violent-crime,population,state_abbr,Unemployment Rate,Gym count,MedianIncome,total-crime,County Population,total-crime-per100,property-crime-per100,violent-crime-per100,gym-per100
New Mexico,catron,7139,1495,2088070,NM,6.9,0.0,45821,8634,3587,240.7025369389462,199.02425425146362,41.67828268748258,0.0
Alaska,aleutians,5432,1212,739795,AK,3.6,0.0,67750,6644,3370,197.1513353115727,161.18694362017803,35.96439169139466,0.0
Massachusetts,dukes,24288,6492,6859819,MA,4.9,608.0,82452,30780,17325,177.66233766233765,140.1904761904762,37.47186147186147,3.5093795093795093
Arkansas,calhoun,7344,1180,3004279,AR,3.9,0.0,44638,8524,5247,162.4547360396417,139.9656946826758,22.489041356965885,0.0
Louisiana,assumption,30725,3908,4684333,LA,7.4,0.0,55603,34633,22526,153.74678149693688,136.3979401580396,17.348841338897273,0.0
South Carolina,allendale,10611,1646,5024369,SC,6.9,0.0,30276,12257,9002,136.15863141524105,117.87380582092868,18.284825594312377,0.0
Louisiana,allen,28177,4752,4684333,LA,5.3,0.0,48306,32929,25621,128.52347683540845,109.97619140548768,18.54728542992077,0.0
Alaska,aleutians,5432,1212,739795,AK,3.6,0.0,67750,6644,5763,115.28717681762971,94.25646364740587,21.03071317022384,0.0
Arkansas,ashley,19176,3100,3004279,AR,5.7,0.0,45612,22276,20283,109.82596262880244,94.54222748114184,15.283735147660602,0.0
Arkansas,arkansas,15057,2595,3004279,AR,3.3,0.0,50137,17652,17967,98.24678577391884,83.80364000667892,14.44314576723994,0.0
South Carolina,barnwell,16604,2894,5024369,SC,6.0,0.0,43818,19498,21345,91.3469196533146,77.78870929960178,13.558210353712813,0.0
South Carolina,abbeville,18030,3339,5024369,SC,4.6,0.0,47211,21369,24722,86.43718145781085,72.93099263813608,13.506188819674783,0.0
Louisiana,avoyelles,26546,3952,4684333,LA,6.2,0.0,40311,30498,40980,74.42166910688141,64.77794045876037,9.643728648121035,0.0
South Carolina,bamberg,8980,1386,5024369,SC,7.4,0.0,43317,10366,14381,72.08121827411168,62.44350184270913,9.637716431402545,0.0
New Jersey,salem,34468,10724,9005644,NJ,6.1,113.0,74469,45192,62792,71.97095171359409,54.892342973627215,17.078608739966874,0.17995923047521978
Massachusetts,nantucket,5320,1960,6859819,MA,4.4,5.0,92500,7280,11229,64.83213108914418,47.377326565143825,17.454804524000355,0.0445275625612254
Louisiana,acadia,31810,5043,4684333,LA,5.9,2.0,46159,36853,62590,58.8800127815945,50.822815146189484,8.057197635405016,0.003195398625978591
South Carolina,clarendon,16896,3008,5024369,SC,6.0,0.0,40172,19904,34057,58.44319816777755,49.61094635464075,8.8322518131368,0.0
Arkansas,boone,16266,3702,3004279,AR,3.4,0.0,47585,19968,37381,53.41751157004896,43.51408469543351,9.903426874615446,0.0
Arkansas,baxter,14441,2442,3004279,AR,4.2,0.0,45499,16883,41355,40.824567766896386,34.91959859750937,5.904969169387015,0.0
South Carolina,calhoun,3861,675,5024369,SC,5.2,0.0,49517,4536,14704,30.8487486398259,26.25816104461371,4.590587595212187,0.0
Louisiana,beauregard,8926,1514,4684333,LA,5.3,0.0,59364,10440,36928,28.271230502599654,24.171360485268632,4.099870017331023,0.0
New Jersey,cape,20704,3484,9005644,NJ,9.1,1008.0,74112,24188,93553,25.854863018823554,22.130770793026414,3.7240922257971416,1.0774641112524452
Louisiana,ascension,23619,5747,4684333,LA,4.3,16.0,77640,29366,122948,23.88489442691219,19.210560562188892,4.674333864723297,0.013013631779288805
Louisiana,bienville,2634,385,4684333,LA,6.0,0.0,42271,3019,13638,22.13667693210148,19.313682358117028,2.822994573984455,0.0
Arkansas,chicot,2003,339,3004279,AR,6.5,0.0,34451,2342,10636,22.019556224144416,18.832267769838285,3.18728845430613,0.0
New Mexico,chaves,9968,1488,2088070,NM,6.4,0.0,48169,11456,64866,17.661024265408688,15.367064409706163,2.2939598557025254,0.0
New Mexico,cibola,3974,674,2088070,NM,7.9,4.0,42024,4648,26853,17.309052992216884,14.799091349197482,2.509961643019402,0.01489591479536737
South Carolina,cherokee,7908,1021,5024369,SC,4.9,1.0,43439,8929,57105,15.63610892216093,13.848174415550302,1.7879345066106296,0.0017511601435951317
Massachusetts,bristol,64396,19928,6859819,MA,4.7,2192.0,72018,84324,561483,15.018086032880781,11.4689135735187,3.549172459362082,0.3903947225472543
Massachusetts,franklin,8544,2032,6859819,MA,3.3,8409.0,67785,10576,70702,14.958558456620747,12.084523775847925,2.874034680772821,11.893581511131227
New Jersey,hunterdon,17240,876,9005644,NJ,3.5,203.0,125828,18116,125059,14.485962625640697,13.785493247187327,0.70046937845337,0.16232338336305263
Vermont,essex,724,85,623657,VT,4.7,950.0,45000,809,6230,12.985553772070626,11.621187800963082,1.3643659711075442,15.248796147672552
New Jersey,gloucester,29704,6732,9005644,NJ,4.7,755.0,87913,36436,292206,12.469285367172475,10.165431236867141,2.3038541303053326,0.25837936250453447
New Jersey,mercer,38416,5280,9005644,NJ,4.1,867.0,94267,43696,374733,11.66056899178882,10.251565781503096,1.4090032102857235,0.23136473168896254
New Jersey,hudson,65208,14848,9005644,NJ,4.4,2846.0,62168,80056,691643,11.574757497726429,9.427985246724106,2.1467722510023233,0.41148395921017056
Arkansas,bradley,1054,185,3004279,AR,4.7,0.0,39659,1239,10864,11.404639175257731,9.701767304860088,1.7028718703976435,0.0
South Carolina,chester,3119,285,5024369,SC,6.0,0.0,42089,3404,32301,10.538373424971363,9.656047800377697,0.8823256245936658,0.0
New Mexico,bernalillo,58932,12218,2088070,NM,5.5,620.0,60740,71150,676773,10.513126262424771,8.70779419391731,1.8053320685074612,0.09161121971473449
South Carolina,darlington,5903,1058,5024369,SC,5.3,3.0,46150,6961,67265,10.34862112539954,8.775737753660893,1.5728833717386457,0.0044599717535122275
South Carolina,aiken,14475,2313,5024369,SC,4.1,10.0,56150,16788,168179,9.982221323708668,8.606900980502916,1.375320343205751,0.005946045582385435
New Jersey,warren,9500,792,9005644,NJ,4.2,96.0,85091,10292,106798,9.636884585853668,8.895297664750276,0.7415869211033914,0.08988932377010805
Arkansas,columbia,2006,266,3004279,AR,5.0,0.0,47472,2272,23627,9.616117154103357,8.490286536589496,1.1258306175138613,0.0
Arkansas,carroll,2171,447,3004279,AR,3.3,0.0,46669,2618,27944,9.3687374749499,7.769109647867163,1.5996278270827369,0.0
New Jersey,camden,37612,6064,9005644,NJ,5.1,874.0,77369,43676,510719,8.551865115650681,7.364519432408036,1.1873456832426441,0.17113128745944442
New Jersey,atlantic,20332,2732,9005644,NJ,7.2,449.0,66619,23064,269918,8.544817314888226,7.532658066523907,1.012159248364318,0.1663468164405486
Maine,franklin,2189,180,1335907,ME,4.0,1860.0,50251,2369,29988,7.899826597305589,7.299586501267173,0.6002400960384153,6.202480992396959
Massachusetts,berkshire,7488,1776,6859819,MA,4.3,6396.0,65216,9264,126313,7.334161962743344,5.928130912890993,1.406031049852351,5.063611821427723
New Jersey,cumberland,9936,616,9005644,NJ,7.0,335.0,60388,10552,152538,6.917620527344006,6.513786728552885,0.4038337987911209,0.21961740681010633
South Carolina,anderson,11689,1701,5024369,SC,3.9,2.0,53856,13390,198759,6.736801855513461,5.880991552583782,0.8558103029296786,0.0010062437424217267
South Carolina,berkeley,11722,1651,5024369,SC,3.8,25.0,59373,13373,217937,6.136176968573487,5.378618591611337,0.7575583769621496,0.01147120498125605
New Jersey,sussex,6988,528,9005644,NJ,4.4,537.0,100066,7516,141682,5.304837594048644,4.932172047260767,0.37266554678787706,0.3790178004263068
Maine,androscoggin,5253,426,1335907,ME,3.1,338.0,57444,5679,107651,5.275380628140937,4.879657411449963,0.3957232166909736,0.3139775756843875
Vermont,addison,1543,240,623657,VT,2.8,710.0,69157,1783,36776,4.848270611268219,4.195671089841201,0.6525995214270176,1.9306069175549272
Maine,knox,1668,139,1335907,ME,3.1,253.0,60581,1807,39790,4.5413420457401354,4.192008042221664,0.349334003518472,0.6358381502890174
New Jersey,essex,33880,2784,9005644,NJ,5.7,1351.0,69448,36664,808285,4.536023803485157,4.191590837390277,0.3444329660948799,0.16714401479676105
Vermont,bennington,1472,124,623657,VT,3.6,865.0,61270,1596,35594,4.483901781199078,4.135528459852784,0.34837332134629434,2.430184862617295
Massachusetts,suffolk,28392,7304,6859819,MA,3.4,7585.0,61449,35696,797939,4.47352491857147,3.558166727030512,0.9153581915409574,0.950573916051227
New Jersey,ocean,20924,5272,9005644,NJ,4.8,476.0,76822,26196,597943,4.381019595513285,3.4993302037150698,0.8816893917982149,0.07960625009407252
Massachusetts,hampshire,5652,1336,6859819,MA,3.4,3468.0,81385,6988,161834,4.318004869186945,3.4924675902467963,0.8255372789401485,2.1429365893446373
New Jersey,union,21756,2560,9005644,NJ,4.8,3515.0,83164,24316,563892,4.312173253034269,3.8581856100104277,0.4539876430238414,0.623346314542501
South Carolina,charleston,14921,1882,5024369,SC,3.5,415.0,65394,16803,401438,4.185702399872459,3.7168877884006997,0.468814611471759,0.10337835481444207
Arkansas,clark,711,207,3004279,AR,4.0,2.0,48735,918,22293,4.117884537747275,3.189341945902301,0.9285425918449738,0.008971426008163998
South Carolina,beaufort,6457,1118,5024369,SC,4.0,54.0,66878,7575,186844,4.054184239258419,3.4558241099526876,0.598360129305731,0.028901115368970907
Vermont,lamoille,839,140,623657,VT,4.0,96.0,64500,979,25337,3.8639144334372655,3.3113628290642145,0.5525516043730513,0.37889252871294943
Vermont,caledonia,1042,105,623657,VT,3.7,195.0,54941,1147,30164,3.802546081421562,3.454449012067365,0.34809706935419704,0.6464659859435088
Massachusetts,plymouth,15424,3840,6859819,MA,3.9,5429.0,90431,19264,515142,3.739551424655726,2.994125891501761,0.7454255331539653,1.0538841717429368
New Mexico,colfax,284,169,2088070,NM,6.0,0.0,47100,453,12174,3.7210448496796453,2.332840479710859,1.388204369968786,0.0
