FIPS,County,State,Unemployment Rate
1,Autauga County,AL,3.9
3,Baldwin County,AL,4.0
5,Barbour County,AL,5.9
7,Bibb County,AL,4.4
9,Blount County,AL,4.0
11,Bullock County,AL,4.9
13,Butler County,AL,5.5
15,Calhoun County,AL,4.9
17,Chambers County,AL,4.1
19,Cherokee County,AL,4.1
21,Chilton County,AL,4.0
23,Choctaw County,AL,6.4
25,Clarke County,AL,8.5
27,Clay County,AL,4.4
29,Cleburne County,AL,4.5
31,Coffee County,AL,4.4
33,Colbert County,AL,5.2
35,Conecuh County,AL,6.1
37,Coosa County,AL,4.6
39,Covington County,AL,5.2
41,Crenshaw County,AL,4.5
43,Cullman County,AL,3.7
45,Dale County,AL,4.4
47,Dallas County,AL,7.5
49,DeKalb County,AL,4.5
51,Elmore County,AL,3.6
53,Escambia County,AL,5.0
55,Etowah County,AL,4.6
57,Fayette County,AL,4.7
59,Franklin County,AL,4.2
61,Geneva County,AL,4.3
63,Greene County,AL,7.7
65,Hale County,AL,5.9
67,Henry County,AL,4.9
69,Houston County,AL,4.3
71,Jackson County,AL,4.8
73,Jefferson County,AL,4.2
75,Lamar County,AL,4.2
77,Lauderdale County,AL,4.6
79,Lawrence County,AL,4.9
81,Lee County,AL,3.9
83,Limestone County,AL,4.0
85,Lowndes County,AL,8.0
87,Macon County,AL,5.8
89,Madison County,AL,3.8
91,Marengo County,AL,5.7
93,Marion County,AL,4.8
95,Marshall County,AL,3.8
97,Mobile County,AL,5.2
99,Monroe County,AL,6.7
101,Montgomery County,AL,4.3
103,Morgan County,AL,4.1
105,Perry County,AL,7.9
107,Pickens County,AL,5.3
109,Pike County,AL,4.9
111,Randolph County,AL,4.4
113,Russell County,AL,4.3
115,St. Clair County,AL,4.0
117,Shelby County,AL,3.2
119,Sumter County,AL,6.5
121,Talladega County,AL,5.0
123,Tallapoosa County,AL,4.2
125,Tuscaloosa County,AL,4.1
127,Walker County,AL,5.0
129,Washington County,AL,6.8
131,Wilcox County,AL,11.4
133,Winston County,AL,5.0
13,Aleutians East Borough,AK,2.5
16,Aleutians West Census Area,AK,3.6
20,Anchorage Borough/municipality,AK,6.0
50,Bethel Census Area,AK,13.8
60,Bristol Bay Borough,AK,6.3
68,Denali Borough,AK,9.4
70,Dillingham Census Area,AK,9.3
90,Fairbanks North Star Borough,AK,6.3
100,Haines Borough,AK,9.1
105,Hoonah-Angoon Census Area,AK,12.6
110,Juneau Borough/city,AK,4.7
122,Kenai Peninsula Borough,AK,8.5
130,Ketchikan Gateway Borough,AK,6.3
150,Kodiak Island Borough,AK,5.1
158,Kusilvak Census Area,AK,20.1
164,Lake and Peninsula Borough,AK,11.9
170,Matanuska-Susitna Borough,AK,8.7
180,Nome Census Area,AK,12.6
185,North Slope Borough,AK,7.4
188,Northwest Arctic Borough,AK,16.8
195,Petersburg Borough,AK,9.3
198,Prince of Wales-Hyder Census Area,AK,11.4
220,Sitka Borough/city,AK,4.7
230,Skagway Municipality,AK,10.6
240,Southeast Fairbanks Census Area,AK,10.4
261,Valdez-Cordova Census Area,AK,8.0
275,Wrangell Borough/city,AK,7.7
282,Yakutat Borough/city,AK,9.4
290,Yukon-Koyukuk Census Area,AK,18.3
1,Apache County,AZ,10.4
3,Cochise County,AZ,5.6
5,Coconino County,AZ,5.6
7,Gila County,AZ,6.1
9,Graham County,AZ,5.4
11,Greenlee County,AZ,5.1
12,La Paz County,AZ,5.4
13,Maricopa County,AZ,4.2
15,Mohave County,AZ,5.9
17,Navajo County,AZ,7.6
19,Pima County,AZ,4.5
21,Pinal County,AZ,5.0
23,Santa Cruz County,AZ,9.5
25,Yavapai County,AZ,4.5
27,Yuma County,AZ,17.0
1,Arkansas County,AR,3.3
3,Ashley County,AR,5.7
5,Baxter County,AR,4.2
7,Benton County,AR,2.9
9,Boone County,AR,3.4
11,Bradley County,AR,4.7
13,Calhoun County,AR,3.9
15,Carroll County,AR,3.3
17,Chicot County,AR,6.5
19,Clark County,AR,4.0
21,Clay County,AR,4.6
23,Cleburne County,AR,4.9
25,Cleveland County,AR,4.4
27,Columbia County,AR,5.0
29,Conway County,AR,4.7
31,Craighead County,AR,3.0
33,Crawford County,AR,3.5
35,Crittenden County,AR,4.3
37,Cross County,AR,4.0
39,Dallas County,AR,4.5
41,Desha County,AR,4.8
43,Drew County,AR,5.2
45,Faulkner County,AR,3.3
47,Franklin County,AR,3.5
49,Fulton County,AR,4.2
51,Garland County,AR,4.0
53,Grant County,AR,3.2
55,Greene County,AR,3.7
57,Hempstead County,AR,3.5
59,Hot Spring County,AR,3.7
61,Howard County,AR,3.0
63,Independence County,AR,4.2
65,Izard County,AR,5.5
67,Jackson County,AR,5.8
69,Jefferson County,AR,5.2
71,Johnson County,AR,4.2
73,Lafayette County,AR,5.1
75,Lawrence County,AR,3.8
77,Lee County,AR,4.8
79,Lincoln County,AR,4.2
81,Little River County,AR,4.8
83,Logan County,AR,3.8
85,Lonoke County,AR,3.3
87,Madison County,AR,2.8
89,Marion County,AR,3.9
91,Miller County,AR,4.3
93,Mississippi County,AR,5.9
95,Monroe County,AR,4.3
97,Montgomery County,AR,4.8
99,Nevada County,AR,3.5
101,Newton County,AR,3.6
103,Ouachita County,AR,4.6
105,Perry County,AR,4.2
107,Phillips County,AR,5.8
109,Pike County,AR,4.1
111,Poinsett County,AR,4.1
113,Polk County,AR,4.5
115,Pope County,AR,4.4
117,Prairie County,AR,4.0
119,Pulaski County,AR,3.4
121,Randolph County,AR,4.2
123,St. Francis County,AR,5.1
125,Saline County,AR,3.0
127,Scott County,AR,3.4
129,Searcy County,AR,4.5
131,Sebastian County,AR,3.6
133,Sevier County,AR,4.5
135,Sharp County,AR,4.9
137,Stone County,AR,4.7
139,Union County,AR,5.3
141,Van Buren County,AR,5.4
143,Washington County,AR,2.5
145,White County,AR,4.5
147,Woodruff County,AR,4.8
149,Yell County,AR,4.0
1,Alameda County,CA,3.6
3,Alpine County,CA,6.1
5,Amador County,CA,4.9
7,Butte County,CA,5.7
9,Calaveras County,CA,4.7
11,Colusa County,CA,14.3
13,Contra Costa County,CA,3.8
15,Del Norte County,CA,6.4
17,El Dorado County,CA,4.4
19,Fresno County,CA,8.5
21,Glenn County,CA,7.5
23,Humboldt County,CA,4.2
25,Imperial County,CA,19.1
27,Inyo County,CA,4.4
29,Kern County,CA,9.2
31,Kings County,CA,8.9
33,Lake County,CA,5.7
35,Lassen County,CA,5.6
37,Los Angeles County,CA,4.8
39,Madera County,CA,8.1
41,Marin County,CA,2.9
43,Mariposa County,CA,5.9
45,Mendocino County,CA,4.5
47,Merced County,CA,9.3
49,Modoc County,CA,8.0
51,Mono County,CA,4.4
53,Monterey County,CA,7.2
55,Napa County,CA,3.7
57,Nevada County,CA,4.1
59,Orange County,CA,3.5
61,Placer County,CA,3.8
63,Plumas County,CA,8.9
65,Riverside County,CA,5.2
67,Sacramento County,CA,4.6
69,San Benito County,CA,5.8
71,San Bernardino County,CA,4.9
73,San Diego County,CA,4.0
75,San Francisco County/city,CA,2.9
77,San Joaquin County,CA,7.0
79,San Luis Obispo County,CA,3.6
81,San Mateo County,CA,2.7
83,Santa Barbara County,CA,4.5
85,Santa Clara County,CA,3.2
87,Santa Cruz County,CA,5.7
89,Shasta County,CA,5.8
91,Sierra County,CA,6.5
93,Siskiyou County,CA,7.2
95,Solano County,CA,4.8
97,Sonoma County,CA,3.4
99,Stanislaus County,CA,7.5
101,Sutter County,CA,8.6
103,Tehama County,CA,6.4
105,Trinity County,CA,6.0
107,Tulare County,CA,10.4
109,Tuolumne County,CA,5.4
111,Ventura County,CA,4.5
113,Yolo County,CA,5.0
115,Yuba County,CA,7.4
1,Adams County,CO,3.1
3,Alamosa County,CO,3.4
5,Arapahoe County,CO,2.8
7,Archuleta County,CO,3.0
9,Baca County,CO,1.6
11,Bent County,CO,2.7
13,Boulder County,CO,2.4
14,Broomfield County/city,CO,2.6
15,Chaffee County,CO,2.3
17,Cheyenne County,CO,1.7
19,Clear Creek County,CO,2.6
21,Conejos County,CO,4.2
23,Costilla County,CO,3.5
25,Crowley County,CO,3.1
27,Custer County,CO,3.0
29,Delta County,CO,3.9
31,Denver County/city,CO,2.8
33,Dolores County,CO,3.0
35,Douglas County,CO,2.4
37,Eagle County,CO,2.3
39,Elbert County,CO,2.4
41,El Paso County,CO,3.3
43,Fremont County,CO,4.3
45,Garfield County,CO,2.9
47,Gilpin County,CO,2.0
49,Grand County,CO,2.2
51,Gunnison County,CO,2.0
53,Hinsdale County,CO,2.2
55,Huerfano County,CO,5.7
57,Jackson County,CO,1.8
59,Jefferson County,CO,2.6
61,Kiowa County,CO,1.8
63,Kit Carson County,CO,1.8
65,Lake County,CO,2.2
67,La Plata County,CO,2.5
69,Larimer County,CO,2.4
71,Las Animas County,CO,4.0
73,Lincoln County,CO,2.1
75,Logan County,CO,2.3
77,Mesa County,CO,4.0
79,Mineral County,CO,2.0
81,Moffat County,CO,3.3
83,Montezuma County,CO,4.0
85,Montrose County,CO,3.3
87,Morgan County,CO,2.4
89,Otero County,CO,4.1
91,Ouray County,CO,2.9
93,Park County,CO,2.4
95,Phillips County,CO,1.7
97,Pitkin County,CO,3.1
99,Prowers County,CO,2.6
101,Pueblo County,CO,4.3
103,Rio Blanco County,CO,3.9
105,Rio Grande County,CO,4.3
107,Routt County,CO,2.4
109,Saguache County,CO,4.4
111,San Juan County,CO,2.2
113,San Miguel County,CO,2.9
115,Sedgwick County,CO,2.2
117,Summit County,CO,1.9
119,Teller County,CO,3.2
121,Washington County,CO,1.9
123,Weld County,CO,2.7
125,Yuma County,CO,1.6
1,Fairfield County,CT,4.5
