STNAME,CTYNAME,POPESTIMATE2017
Alaska,Alaska,739795
Alaska,Aleutians East Borough,3370
Alaska,Aleutians West Census Area,5763
Alaska,Anchorage Municipality,294356
Alaska,Bethel Census Area,18076
Alaska,Bristol Bay Borough,867
Alaska,Denali Borough,2074
Alaska,Dillingham Census Area,4932
Alaska,Fairbanks North Star Borough,99703
Alaska,Haines Borough,2526
Alaska,Hoonah-Angoon Census Area,2145
Alaska,Juneau City and Borough,32094
Alaska,Kenai Peninsula Borough,58617
Alaska,Ketchikan Gateway Borough,13856
Alaska,Kodiak Island Borough,13448
Alaska,Kusilvak Census Area,8202
Alaska,Lake and Peninsula Borough,1620
Alaska,Matanuska-Susitna Borough,106532
Alaska,Nome Census Area,9921
Alaska,North Slope Borough,9782
Alaska,Northwest Arctic Borough,7684
Alaska,Petersburg Borough,3281
Alaska,Prince of Wales-Hyder Census Area,6443
Alaska,Sitka City and Borough,8689
Alaska,Skagway Municipality,1157
Alaska,Southeast Fairbanks Census Area,6888
Alaska,Valdez-Cordova Census Area,9278
Alaska,Wrangell City and Borough,2521
Alaska,Yakutat City and Borough,605
Alaska,Yukon-Koyukuk Census Area,5365
Arkansas,Arkansas,3004279
Arkansas,Arkansas County,17967
Arkansas,Ashley County,20283
Arkansas,Baxter County,41355
Arkansas,Benton County,266300
Arkansas,Boone County,37381
Arkansas,Bradley County,10864
Arkansas,Calhoun County,5247
Arkansas,Carroll County,27944
Arkansas,Chicot County,10636
Arkansas,Clark County,22293
Arkansas,Clay County,14920
Arkansas,Cleburne County,25048
Arkansas,Cleveland County,8202
Arkansas,Columbia County,23627
Arkansas,Conway County,20916
Arkansas,Craighead County,107115
Arkansas,Crawford County,62996
Arkansas,Crittenden County,48750
Arkansas,Cross County,16863
Arkansas,Dallas County,7393
Arkansas,Desha County,11764
Arkansas,Drew County,18547
Arkansas,Faulkner County,123654
Arkansas,Franklin County,17890
Arkansas,Fulton County,12055
Arkansas,Garland County,98658
Arkansas,Grant County,18165
Arkansas,Greene County,45053
Arkansas,Hempstead County,21861
Arkansas,Hot Spring County,33574
Arkansas,Howard County,13478
Arkansas,Independence County,37504
Arkansas,Izard County,13686
Arkansas,Jackson County,17135
Arkansas,Jefferson County,69115
Arkansas,Johnson County,26552
Arkansas,Lafayette County,6862
Arkansas,Lawrence County,16525
Arkansas,Lee County,9176
Arkansas,Lincoln County,13646
Arkansas,Little River County,12359
Arkansas,Logan County,21722
Arkansas,Lonoke County,72898
Arkansas,Madison County,16339
Arkansas,Marion County,16428
Arkansas,Miller County,43984
Arkansas,Mississippi County,42159
Arkansas,Monroe County,7085
Arkansas,Montgomery County,8919
Arkansas,Nevada County,8327
Arkansas,Newton County,7828
Arkansas,Ouachita County,23868
Arkansas,Perry County,10348
Arkansas,Phillips County,18572
Arkansas,Pike County,10726
Arkansas,Poinsett County,24154
Arkansas,Polk County,20118
Arkansas,Pope County,63835
Arkansas,Prairie County,8248
Arkansas,Pulaski County,393956
Arkansas,Randolph County,17557
Arkansas,St. Francis County,25930
Arkansas,Saline County,119323
Arkansas,Scott County,10445
Arkansas,Searcy County,7938
Arkansas,Sebastian County,128107
Arkansas,Sevier County,17115
Arkansas,Sharp County,17393
Arkansas,Stone County,12537
Arkansas,Union County,39449
Arkansas,Van Buren County,16506
Arkansas,Washington County,231996
Arkansas,White County,79016
Arkansas,Woodruff County,6571
Arkansas,Yell County,21523
Louisiana,Louisiana,4684333
Louisiana,Acadia Parish,62590
Louisiana,Allen Parish,25621
Louisiana,Ascension Parish,122948
Louisiana,Assumption Parish,22526
Louisiana,Avoyelles Parish,40980
Louisiana,Beauregard Parish,36928
Louisiana,Bienville Parish,13638
Louisiana,Bossier Parish,127634
Louisiana,Caddo Parish,246581
Louisiana,Calcasieu Parish,202445
Louisiana,Caldwell Parish,9950
Louisiana,Cameron Parish,6912
Louisiana,Catahoula Parish,9875
Louisiana,Claiborne Parish,15969
Louisiana,Concordia Parish,19866
Louisiana,De Soto Parish,27340
Louisiana,East Baton Rouge Parish,446268
Louisiana,East Carroll Parish,7126
Louisiana,East Feliciana Parish,19412
Louisiana,Evangeline Parish,33708
Louisiana,Franklin Parish,20260
Louisiana,Grant Parish,22336
Louisiana,Iberia Parish,72176
Louisiana,Iberville Parish,33027
Louisiana,Jackson Parish,15846
Louisiana,Jefferson Parish,439036
Louisiana,Jefferson Davis Parish,31477
Louisiana,Lafayette Parish,242485
Louisiana,Lafourche Parish,98426
