actual,cleared,data_year,offense,ori,state_abbr
234,190,2014,aggravated-assault,MA0010100,MA
8,1,2014,arson,MA0010100,MA
223,71,2014,burglary,MA0010100,MA
0,0,2014,homicide,MA0010100,MA
0,0,2014,human-trafficing,MA0010100,MA
795,230,2014,larceny,MA0010100,MA
65,14,2014,motor-vehicle-theft,MA0010100,MA
1083,315,2014,property-crime,MA0010100,MA
19,8,2014,rape,MA0010100,MA
0,0,2014,rape-legacy,MA0010100,MA
29,18,2014,robbery,MA0010100,MA
282,216,2014,violent-crime,MA0010100,MA
361,310,2015,aggravated-assault,MA0010100,MA
2,0,2015,arson,MA0010100,MA
169,48,2015,burglary,MA0010100,MA
2,1,2015,homicide,MA0010100,MA
0,0,2015,human-trafficing,MA0010100,MA
667,225,2015,larceny,MA0010100,MA
46,9,2015,motor-vehicle-theft,MA0010100,MA
882,282,2015,property-crime,MA0010100,MA
23,11,2015,rape,MA0010100,MA
0,0,2015,rape-legacy,MA0010100,MA
25,12,2015,robbery,MA0010100,MA
411,334,2015,violent-crime,MA0010100,MA
167,134,2016,aggravated-assault,MA0010100,MA
2,1,2016,arson,MA0010100,MA
133,45,2016,burglary,MA0010100,MA
1,2,2016,homicide,MA0010100,MA
0,0,2016,human-trafficing,MA0010100,MA
559,200,2016,larceny,MA0010100,MA
20,5,2016,motor-vehicle-theft,MA0010100,MA
712,250,2016,property-crime,MA0010100,MA
16,4,2016,rape,MA0010100,MA
0,0,2016,rape-legacy,MA0010100,MA
15,7,2016,robbery,MA0010100,MA
199,147,2016,violent-crime,MA0010100,MA
165,138,2017,aggravated-assault,MA0010100,MA
4,2,2017,arson,MA0010100,MA
79,12,2017,burglary,MA0010100,MA
1,1,2017,homicide,MA0010100,MA
0,0,2017,human-trafficing,MA0010100,MA
446,165,2017,larceny,MA0010100,MA
22,6,2017,motor-vehicle-theft,MA0010100,MA
547,183,2017,property-crime,MA0010100,MA
18,9,2017,rape,MA0010100,MA
0,0,2017,rape-legacy,MA0010100,MA
13,4,2017,robbery,MA0010100,MA
197,152,2017,violent-crime,MA0010100,MA
48,31,2014,aggravated-assault,MA0010200,MA
1,1,2014,arson,MA0010200,MA
104,2,2014,burglary,MA0010200,MA
1,1,2014,homicide,MA0010200,MA
0,0,2014,human-trafficing,MA0010200,MA
186,13,2014,larceny,MA0010200,MA
19,2,2014,motor-vehicle-theft,MA0010200,MA
309,17,2014,property-crime,MA0010200,MA
9,1,2014,rape,MA0010200,MA
0,0,2014,rape-legacy,MA0010200,MA
5,1,2014,robbery,MA0010200,MA
63,34,2014,violent-crime,MA0010200,MA
43,29,2015,aggravated-assault,MA0010200,MA
7,2,2015,arson,MA0010200,MA
124,4,2015,burglary,MA0010200,MA
1,1,2015,homicide,MA0010200,MA
0,0,2015,human-trafficing,MA0010200,MA
201,34,2015,larceny,MA0010200,MA
16,0,2015,motor-vehicle-theft,MA0010200,MA
341,38,2015,property-crime,MA0010200,MA
10,2,2015,rape,MA0010200,MA
0,0,2015,rape-legacy,MA0010200,MA
6,4,2015,robbery,MA0010200,MA
60,36,2015,violent-crime,MA0010200,MA
39,25,2016,aggravated-assault,MA0010200,MA
1,0,2016,arson,MA0010200,MA
83,3,2016,burglary,MA0010200,MA
0,0,2016,homicide,MA0010200,MA
0,0,2016,human-trafficing,MA0010200,MA
162,28,2016,larceny,MA0010200,MA
13,3,2016,motor-vehicle-theft,MA0010200,MA
258,34,2016,property-crime,MA0010200,MA
4,1,2016,rape,MA0010200,MA
0,0,2016,rape-legacy,MA0010200,MA
6,2,2016,robbery,MA0010200,MA
49,28,2016,violent-crime,MA0010200,MA
32,20,2017,aggravated-assault,MA0010200,MA
1,0,2017,arson,MA0010200,MA
103,6,2017,burglary,MA0010200,MA
0,0,2017,homicide,MA0010200,MA
0,0,2017,human-trafficing,MA0010200,MA
149,16,2017,larceny,MA0010200,MA
10,1,2017,motor-vehicle-theft,MA0010200,MA
262,23,2017,property-crime,MA0010200,MA
4,2,2017,rape,MA0010200,MA
0,0,2017,rape-legacy,MA0010200,MA
5,2,2017,robbery,MA0010200,MA
41,24,2017,violent-crime,MA0010200,MA
11,10,2014,aggravated-assault,MA0010300,MA
0,0,2014,arson,MA0010300,MA
38,5,2014,burglary,MA0010300,MA
0,0,2014,homicide,MA0010300,MA
0,0,2014,human-trafficing,MA0010300,MA
75,10,2014,larceny,MA0010300,MA
2,1,2014,motor-vehicle-theft,MA0010300,MA
115,16,2014,property-crime,MA0010300,MA
5,4,2014,rape,MA0010300,MA
0,0,2014,rape-legacy,MA0010300,MA
0,0,2014,robbery,MA0010300,MA
16,14,2014,violent-crime,MA0010300,MA
19,15,2015,aggravated-assault,MA0010300,MA
0,0,2015,arson,MA0010300,MA
39,7,2015,burglary,MA0010300,MA
0,0,2015,homicide,MA0010300,MA
0,0,2015,human-trafficing,MA0010300,MA
62,4,2015,larceny,MA0010300,MA
5,1,2015,motor-vehicle-theft,MA0010300,MA
106,12,2015,property-crime,MA0010300,MA
0,0,2015,rape,MA0010300,MA
0,0,2015,rape-legacy,MA0010300,MA
1,1,2015,robbery,MA0010300,MA
20,16,2015,violent-crime,MA0010300,MA
15,13,2016,aggravated-assault,MA0010300,MA
1,0,2016,arson,MA0010300,MA
27,4,2016,burglary,MA0010300,MA
0,0,2016,homicide,MA0010300,MA
0,0,2016,human-trafficing,MA0010300,MA
71,16,2016,larceny,MA0010300,MA
1,1,2016,motor-vehicle-theft,MA0010300,MA
99,21,2016,property-crime,MA0010300,MA
2,1,2016,rape,MA0010300,MA
