,state_id,zip,lat,lng,gym count
7,LA,70801,30.4497,-91.1859,22
15,NM,88004,32.2231,-106.9874,0
17,NM,88055,32.7382,-108.7339,0
20,NM,88262,33.1329,-103.4259,0
22,SC,29899,33.9279,-82.2507,0
24,AR,71998,34.1258,-93.0537,1
31,NM,88421,35.2983,-104.4813,0
32,NM,87573,35.7728,-105.6712,0
33,AR,72467,35.8411,-90.6756,4
34,NM,87735,36.0734,-105.1471,0
60,NJ,8320,39.3851,-75.1606,99
68,NJ,7939,40.6674,-74.5539,21
72,NJ,7820,40.9273,-74.8106,1
81,MA,2366,41.8508,-70.6572,9
84,MA,1066,42.4076,-72.6548,50
89,ME,4944,44.6873,-69.6436,0
111,AR,72320,34.8209,-90.5177,0
113,NJ,8327,39.2491,-74.9829,1
123,AR,72168,34.4385,-91.9708,0
133,LA,70712,30.9694,-91.5964,0
136,SC,29409,32.7962,-79.9604,52
138,SC,29904,32.4574,-80.7179,9
141,LA,70076,30.065,-90.6464,0
143,AR,71644,34.0941,-91.7039,0
154,NJ,8314,39.2181,-74.9424,1
157,MA,1434,42.5385,-71.6115,26
163,AK,99510,70.1385,-149.9598,0
172,AK,99519,68.9374,-146.32,0
173,NM,87749,36.5483,-105.0838,0
179,NJ,7703,40.3145,-74.0423,20
185,NM,87731,35.732,-105.4139,0
187,AR,72099,34.8992,-92.1414,1
191,NM,87117,35.0202,-106.5503,3
201,AR,72325,35.3221,-90.24600000000001,0
203,NM,87824,33.8275,-108.9782,0
204,NH,3754,43.3775,-72.1384,2
206,NM,88255,32.8142,-103.9964,0
207,SC,29905,32.3514,-80.6849,3
216,SC,29051,33.8645,-80.1276,0
217,LA,70442,30.6896,-90.3282,1
220,NJ,8808,40.7322,-75.0492,1
224,AK,99734,70.3685,-148.99200000000002,0
226,NJ,8640,40.0035,-74.5895,7
227,LA,70050,29.3816,-89.59200000000001,0
251,NM,87730,36.1484,-104.2111,0
255,LA,70519,30.0802,-91.8974,0
257,ME,4057,44.1016,-70.6989,25
261,AK,99704,64.2966,-149.1607,0
262,AR,72528,36.2275,-92.1383,0
265,SC,29324,34.9838,-81.8267,0
266,ME,3911,43.1349,-70.6349,479
268,NM,88103,34.3841,-103.3155,0
270,MA,2561,41.7689,-70.5332,3
273,AR,72379,34.0527,-91.0549,0
277,LA,71340,31.7692,-91.8107,0
280,LA,71480,31.8629,-92.2918,0
282,AR,72108,34.7058,-91.1031,0
283,NM,88424,36.4093,-103.661,0
306,ME,4267,44.2104,-70.7902,0
342,AR,72571,35.6421,-91.5348,0
343,NM,87722,36.1526,-105.2465,0
348,MA,1937,42.5857,-70.9842,3
354,LA,71377,31.6111,-91.7866,0
366,ME,4975,44.6253,-69.5884,0
375,AK,99553,54.1286,-165.8059,0
381,NM,88136,34.4551,-104.7452,0
386,AR,72663,35.9378,-92.3278,0
398,NM,87820,33.8952,-108.5474,0
406,NH,3575,44.2962,-71.4237,377
411,ME,4227,44.5574,-70.2975,
412,LA,71316,31.2625,-91.7599,0
418,NM,87543,36.107,-105.6612,0
425,ME,4343,44.3289,-69.8916,0
449,LA,70748,30.8141,-91.2054,0
459,MA,2071,42.1028,-71.2721,214
462,NM,88417,35.0515,-104.3912,0
465,NM,88268,32.1761,-104.3796,0
477,NJ,8858,40.6793,-74.7371,4
486,AK,99579,58.2068,-157.3732,0
488,NM,88009,32.0101,-108.5967,0
495,AR,72005,35.54,-91.0715,0
502,AK,99682,60.6252,-152.7844,0
504,NM,88053,32.9025,-108.2059,0
506,LA,71467,31.5579,-92.3954,0
519,LA,70651,30.544,-92.9509,0
528,NM,87746,35.6413,-104.2362,0
535,NM,87051,35.0486,-107.8341,0
539,MA,2669,41.6711,-69.9928,0
540,SC,29590,33.5655,-79.8491,0
543,SC,29207,34.0414,-80.8404,0
547,AK,99691,62.8638,-153.6607,0
553,LA,71414,31.8264,-93.0246,0
565,LA,70773,30.6088,-91.363,0
570,NM,88052,32.4254,-106.5994,0
571,AR,72060,35.0841,-91.6012,0
579,NM,88042,32.806999999999995,-107.5891,0
594,NM,88354,32.7436,-105.5146,0
596,NM,87531,36.2475,-105.8509,0
621,AR,72051,35.7885,-92.3084,0
627,SC,29329,34.9937,-81.8375,1
645,NJ,8011,39.9727,-74.7131,3
656,LA,71110,32.5001,-93.5998,0
657,NM,88350,32.6431,-105.6774,0
671,NM,87061,34.7312,-106.3796,0
672,NM,87070,35.0218,-105.7778,0
673,AR,72555,35.7748,-91.8822,0
674,NM,87564,36.608000000000004,-105.6279,0
688,AK,99692,53.8855,-166.5386,0
689,AK,99558,62.6381,-160.2179,0
698,AR,72201,34.7473,-92.2799,13
708,LA,71339,31.0139,-91.9323,0
720,AK,99549,56.9416,-158.6001,0
729,AK,99583,54.8475,-163.4025,0
731,NJ,8095,39.6485,-74.8603,0
757,AR,72311,34.7238,-90.8915,0
759,NM,88419,36.8828,-103.539,0
797,NM,87517,36.3949,-105.7876,0
813,NM,87711,35.2245,-105.1045,0
819,ME,4645,44.0541,-68.6282,0
822,AK,99612,55.0633,-162.2877,0
823,AK,99730,65.6157,-145.2517,0
826,AR,72037,34.5391,-91.8727,0
837,AK,99651,59.00899999999999,-161.7151,0
844,VT,5447,44.9311,-72.7028,
845,LA,70646,30.0987,-92.9214,0
846,NM,87519,36.7699,-105.62799999999999,0
848,AR,72841,34.842,-93.7721,0
851,ME,4228,44.4326,-70.115,33
855,AR,72152,34.3553,-91.9774,0
859,NJ,7114,40.6995,-74.1636,86
861,ME,4421,44.4111,-68.7952,0
864,AR,72048,34.2318,-91.1236,0
880,AR,72948,35.7047,-94.413,0
896,NH,3215,43.9451,-71.4525,1
901,LA,71034,32.1837,-93.3069,0
912,AK,99783,65.6634,-168.0232,0
914,SC,29424,32.7836,-79.9374,43
918,NM,87412,36.6988,-107.4785,0
919,NM,87524,36.9324,-105.6723,0
925,VT,5649,44.1561,-72.3578,0
927,VT,5901,44.9429,-71.6823,866
931,NM,87538,35.4945,-105.5713,0
936,NM,88254,32.6089,-104.4488,0
944,MA,1037,42.3701,-72.1977,140
948,LA,70743,30.0274,-90.7744,0
951,AR,72567,35.8146,-91.926,0
961,AR,71823,33.8234,-94.1255,0
970,AR,72519,36.1202,-92.1867,0
990,AK,99747,70.1185,-143.6634,0
995,LA,70576,30.781,-92.4183,0
1006,MA,1583,42.3702,-71.785,37
1017,AK,99748,64.3265,-158.7676,0
1020,NM,88056,31.8443,-108.9825,0
1025,MA,2564,41.2653,-69.9843,3
1028,LA,70524,30.557,-92.3113,0
1043,SC,29472,33.0571,-80.3184,0
1053,NH,3740,44.1808,-71.9827,23
1056,AK,99685,53.876000000000005,-166.4745,0
1059,LA,71327,30.9826,-92.0335,0
1062,SC,29836,33.1174,-81.5688,0
1068,NJ,8801,40.6239,-74.8866,0
1069,AK,99505,61.2658,-149.6317,1
1098,LA,71463,30.8078,-92.6125,0
1100,NM,88025,33.0452,-108.7515,0
1115,LA,71040,32.7826,-93.0198,0
1125,NH,3273,43.299,-71.9321,1
1127,VT,5041,43.9506,-72.5406,143
1145,SC,29848,34.0015,-82.2135,0
1146,NM,87583,35.2313,-105.3362,0
1147,AR,72156,35.2791,-92.685,0
1148,NM,87418,36.952,-108.1552,0
1155,NH,3817,43.888000000000005,-71.2327,80
1156,VT,5050,44.2675,-72.0641,90
1173,ME,3910,43.1728,-70.6166,916
1175,LA,70776,30.2636,-91.0899,0
1176,AR,72341,34.887,-90.76100000000001,0
1177,NM,87712,35.8684,-105.1704,0
1193,NJ,7833,40.8918,-75.0677,0
1198,AK,99661,55.2715,-160.6751,0
1200,SC,29824,33.8194,-81.9973,0
1212,AR,72578,36.4532,-91.8864,0
1222,AK,99703,64.8328,-147.6232,2
1227,LA,71237,32.5925,-91.4919,0
1232,NJ,7001,40.5833,-74.2701,147
1244,SC,29452,32.6805,-80.4632,0
1245,NM,88336,33.3179,-105.2952,0
1248,AR,72322,35.0649,-90.8222,0
1249,NM,87565,35.455999999999996,-105.4929,0
1250,AR,72470,36.4673,-90.7064,0
1258,ME,4864,44.1295,-69.2448,0
1266,SC,29922,32.6222,-81.2834,0
1267,NM,87936,32.7533,-107.2637,0
1287,LA,70648,30.502,-92.8787,0
1289,AR,72074,35.0817,-91.0905,0
1298,ME,4022,43.9805,-70.8072,415
1299,VT,5833,44.8257,-71.9774,0
1314,AK,99756,64.587,-151.8484,0
1317,NM,88032,32.3961,-106.8161,0
1319,AR,72686,35.7781,-92.844,0
1320,AR,72358,35.7914,-89.8825,0
1333,ME,4851,43.855,-68.8735,0
1339,AK,99667,61.8239,-151.7845,0
1345,AR,72851,35.2562,-93.462,0
1373,LA,71243,31.9573,-91.8111,0
1390,ME,4962,44.4892,-69.6261,0
1394,AK,99540,60.9861,-149.4304,0
1404,AR,72828,34.9286,-93.5476,0
1426,AK,99670,58.6638,-156.9752,0
1427,AK,99664,60.1084,-149.4862,0
1428,AK,99782,70.6406,-159.9304,0
1430,LA,71223,32.8924,-91.6602,0
1447,AR,72648,36.0804,-93.156,0
1462,AK,99660,57.1813,-170.2848,0
1464,LA,70516,30.3658,-92.3037,0
1465,LA,70426,30.9336,-89.8585,0
1468,AR,72346,35.0833,-90.4824,0
1469,AR,72169,35.3965,-91.2266,0
1470,AR,72014,35.4325,-91.1118,0
1471,AR,72427,35.867,-90.9357,0
1484,MA,1464,42.5734,-71.6484,11
1488,AK,99778,65.1545,-166.297,0
1489,LA,70436,30.803,-90.5218,0
1491,LA,71229,32.639,-91.8932,0
