State,Latitude,Longitude,Hospital%,Income%,Unemployment%,Motor_vehicle_theft%,property_crime%,robbery%,violent_crime%,TotalCrime%,Gym%
LA,31.0689,-91.9968,5.6,1115.9085675940958,4.4,235.23716206385524,3384.3936602275803,114.97908359224013,559.9168064741937,3944.3104667017737,51.33071443684927
NJ,40.1907,-74.6728,1.68,981.7920693576806,4.6,136.61079505911195,1572.494645575247,88.62302604697526,231.2842088248104,1803.7788544000575,265.9701050230566
MA,42.2596,-71.8083,1.97,1169.0975831274745,3.5,109.24133918291244,1428.1783832832355,70.57222323076479,355.8312056143674,1784.009588897603,1298.3057885304997
AR,34.8938,-92.4426,4.05,1492.3432293956462,3.8,240.6576360604879,3068.824500427198,64.20412598608081,553.1508962862807,3621.975396713479,9.157797815068891
SC,33.9169,-80.8964,2.12,958.1684328499268,4.4,280.4217911944371,3158.359340748176,76.11926295310877,500.2235388691116,3658.5828796172873,25.51077107239847
NM,34.4071,-106.1126,2.96,2378.6606465180967,5.6,561.7945355316432,3927.8848998868016,177.62480982405503,780.6996947640291,4708.584594650831,36.07854815340828
ME,45.3695,-69.2428,3.89,4267.204633279637,2.7,59.24967349171102,1504.2543208179293,18.60424804468606,120.81553850705765,1625.069859324987,1270.2442610751311
NH,43.6805,-71.5811,2.65,5301.80809136737,2.6,67.45509260146648,1367.900812262525,30.889271912584096,196.6887290281011,1564.5895412906261,1617.2266299435737
AK,64.0685,-152.2782,4.34,9759.427116304156,7.3,577.4044733252151,3553.3834708816203,128.95999392491302,831.6631364263843,4385.046607308004,14.645298994627346
VT,44.0687,-72.6658,2.87,10247.330519676476,2.8,30.975620270829108,1430.6265857042722,14.689469406784937,165.09686268060463,1595.7234483848767,1427.5928909354795
