year,state_abbr,state_id,population,aggravated_assault,arson,burglary,homicide,larceny,motor_vehicle_theft,property_crime,rape_legacy,rape_revised,robbery,violent_crime
1983,AL,2,3959000,11281,,42485,364,94279,9126,145890,931,,3895,16471
1984,AL,2,3990000,11995,,39970,374,89198,9319,138487,1002,,3833,17204
2001,AL,2,4468912,12250,,40642,379,119992,12619,173253,1369,,5584,19582
2002,AL,2,4478896,12002,,42578,303,123932,13890,180400,1664,,5962,19931
2003,AL,2,4503726,11338,,43245,299,124039,14957,182241,1656,,6038,19331
2004,AL,2,4525375,11286,,44666,254,123650,14024,182340,1742,,6042,19324
2005,AL,2,4548327,11293,,43473,374,120780,13140,177393,1564,,6447,19678
2006,AL,2,4599030,10463,,44780,382,121451,15018,181249,1646,,7062,19553
2007,AL,2,4627851,11417,,45379,412,124465,14238,184082,1548,,7398,20775
2008,AL,2,4661900,11795,,50411,351,126539,13466,190416,1618,,7346,21110
2009,AL,2,4708708,13103,,48844,322,118072,11091,178007,1504,,6265,21194
2010,AL,2,4785401,11869,738.0,42484,275,115564,10780,168828,1355,,4864,18363
2011,AL,2,4803689,13591,795.0,51119,299,111411,10662,173192,1370,,4906,20166
2012,AL,2,4817528,15035,1040.0,47481,342,111523,9874,168878,1296,,5020,21693
2013,AL,2,4833996,13788,761.0,42410,346,108862,10563,161835,1449,2055.0,4645,20834
2014,AL,2,4846411,13744,1245.0,39723,276,104223,10141,154087,1425,2005.0,4702,20727
1985,AL,2,4021000,12686,,41612,396,88108,10395,140115,1079,,4237,18398
2017,AL,2,4874747,18902,703.0,31477,404,99842,12841,144160,0,2028.0,4217,25551
2016,AL,2,4860545,18869,1054.0,34045,407,97498,11716,143259,1916,1915.0,4687,25878
1996,AL,2,4273000,15194,,42821,444,123350,15632,181803,1397,,7124,24159
1997,AL,2,4319000,15626,,43786,426,127616,15407,186809,1396,,6931,24379
1998,AL,2,4352000,14791,,41965,354,120943,14871,177779,1443,,5698,22286
1999,AL,2,4369862,14266,,38648,345,119616,13134,171398,1513,,5297,21421
2000,AL,2,4447100,14107,,40331,329,127399,12809,180539,1482,,5702,21620
1995,AL,2,4253000,17169,,43586,475,120967,14741,179294,1350,,7900,26894
1982,AL,2,3943000,11793,,49531,417,104740,10777,165048,1026,,4417,17653
2015,AL,2,4853875,15960,770.0,35265,348,99182,10338,144785,1449,2037.0,4612,22957
1979,AL,2,3769000,9918,,48517,496,83791,12064,144372,1037,,4127,15578
1980,AL,2,3861466,10551,,58952,509,102029,12210,173191,1158,,5102,17320
1981,AL,2,3916000,11985,,56811,465,105471,11129,173411,1021,,4952,18423
1986,AL,2,4053000,16534,,46974,409,93396,10821,151191,1150,,4523,22616
1987,AL,2,4083000,16735,,48927,380,99260,10731,158918,1137,,4581,22833
1988,AL,2,4127000,16556,,50920,408,103282,11007,165209,1228,,4860,23052
1989,AL,2,4118000,17117,,47224,421,106771,12249,166244,1276,,5515,24329
1990,AL,2,4040587,21039,,44585,467,111336,14053,169974,1319,,5805,28630
1991,AL,2,4089000,26348,,51873,469,118151,14858,184882,1455,,6246,34518
1992,AL,2,4136000,27074,,49053,455,117801,14983,181837,1704,,6819,36052
1993,AL,2,4187000,24044,,45578,484,111878,14142,171598,1471,,6677,32676
1994,AL,2,4219000,19633,,44064,501,119951,14000,178015,1487,,7223,28844
1999,AK,1,619500,2773,,3787,52,16654,2658,23099,517,,566,3908
2000,AK,1,626932,2540,,3899,27,16838,2350,23087,497,,490,3554
2001,AK,1,633630,2681,,3847,39,16695,2618,23160,501,,514,3735
2002,AK,1,641482,2594,,3908,33,17739,2471,24118,511,,489,3627
2003,AK,1,648280,2787,,3874,39,18051,2461,24386,605,,446,3877
2004,AK,1,657755,3117,,3773,37,16159,2240,22172,558,,447,4159
2005,AK,1,663253,3087,,4131,32,17249,2595,23975,538,,537,4194
2006,AK,1,670053,3462,,4155,36,17284,2536,23975,512,,600,4610
2007,AK,1,683478,3351,,3734,43,16929,2433,23096,545,,581,4520
2008,AK,1,686293,3356,,3237,27,15225,1628,20090,447,,645,4475
2009,AK,1,698473,3235,,3600,22,15251,1687,20538,513,,654,4424
2010,AK,1,714146,3379,178.0,3105,31,15535,1619,20259,533,,594,4537
2011,AK,1,723860,3374,222.0,2852,30,14854,1388,19094,436,,576,4416
2012,AK,1,730307,3169,187.0,2950,30,15565,1522,20037,583,,630,4412
1996,AK,1,607000,3264,,5118,45,20557,2992,28667,398,,710,4417
1997,AK,1,609000,3165,,4276,54,20780,2784,27840,403,,648,4270
1998,AK,1,614000,3021,,4098,41,18611,2607,25316,421,,532,4015
2017,AK,1,739795,4257,139.0,4171,62,17775,4258,26204,0,863.0,951,6133
2016,AK,1,741522,4011,144.0,4053,52,17766,3057,24876,1053,1053.0,850,5966
1995,AK,1,604000,3179,,5055,55,21891,3151,30097,485,,937,4656
2015,AK,1,737709,3671,182.0,3511,59,15249,2046,20806,648,900.0,761,5391
2013,AK,1,737259,3127,154.0,2917,34,16599,1695,21211,657,925.0,623,4709
2014,AK,1,737046,3243,145.0,3150,41,15445,1739,20334,553,771.0,629,4684
1979,AK,1,406000,1203,,5616,54,15076,2501,23193,292,,445,1994
1980,AK,1,440142,1270,,5545,39,14916,2469,22930,250,,360,1919
1981,AK,1,412000,1584,,5479,60,16310,2845,24634,421,,472,2537
1982,AK,1,438000,1691,,5204,81,16672,2603,24479,374,,586,2732
1983,AK,1,479000,1923,,5720,66,17085,3084,25889,486,,465,2940
1984,AK,1,500000,2045,,6184,58,18140,3144,27468,458,,547,3108
1985,AK,1,521000,2094,,6209,51,18220,3159,27588,402,,484,3031
1986,AK,1,534000,2142,,6204,46,20879,3224,30307,388,,470,3046
1987,AK,1,525000,1613,,5093,53,18195,2553,25841,341,,384,2391
1988,AK,1,513000,1983,,4321,29,15911,2334,22566,296,,374,2682
1989,AK,1,527000,1946,,4358,42,15811,2398,22567,279,,356,2623
1990,AK,1,550043,2021,,4919,41,17428,3110,25457,401,,422,2885
1991,AK,1,570000,2289,,5582,42,20375,3043,29000,523,,645,3499
1992,AK,1,587000,2614,,5170,44,20728,2918,28816,579,,640,3877
1993,AK,1,599000,3268,,4893,54,21201,2701,28795,502,,733,4557
1994,AK,1,606000,3302,,4848,38,21824,3275,29947,418,,886,4644
1996,AZ,5,4428000,18776,,55630,377,188300,41034,284964,1381,,7429,27963
1997,AZ,5,4555000,18997,,60077,375,195045,44201,299323,1492,,7547,28411
1998,AZ,5,4669000,17442,,56473,376,183137,40391,280001,1451,,7715,26984
1999,AZ,5,4778332,17279,,49423,384,167731,38247,255401,1383,,7288,26334
2000,AZ,5,5130632,17841,,51902,359,176705,43204,271811,1577,,7504,27281
2001,AZ,5,5306966,17889,,54821,400,186850,52203,293874,1518,,8868,28675
2002,AZ,5,5441125,20176,,59087,387,201541,57668,318296,1608,,8000,30171
2003,AZ,5,5579222,18722,,58613,441,198725,56997,314335,1856,,7619,28638
2004,AZ,5,5739879,18921,,56885,414,179012,55306,291203,1896,,7721,28952
2005,AZ,5,5953007,19448,,56328,445,176112,54905,287345,2006,,8579,30478
2006,AZ,5,6166318,20983,,59418,533,178321,56650,294389,2449,,9491,33456
2007,AZ,5,6338755,20170,,59988,548,177076,50244,287308,2353,,9764,32835
2008,AZ,5,6500180,19096,,58606,462,169460,38587,266653,2200,,9809,31567
2009,AZ,5,6595778,17270,,54308,380,155976,26437,236721,2279,,8199,28128
2010,AZ,5,6413158,16976,1830.0,50932,408,154137,21733,226802,2191,,6953,26528
2011,AZ,5,6467315,16748,1745.0,54695,397,155400,19801,229896,2499,,7145,26789
2012,AZ,5,6551149,18054,1957.0,52911,358,159808,18982,231701,2282,,7383,28077
1982,AZ,5,2860000,8912,,53861,236,124723,10577,189161,1100,,4537,14785
1985,AZ,5,3187000,12820,,59585,254,135720,12286,207591,1458,,4670,19202
2013,AZ,5,6634997,17391,1748.0,48292,355,158036,16966,223294,2344,3174.0,6656,27576
2014,AZ,5,6728783,16614,1764.0,43412,311,152683,17311,213406,2356,3272.0,6225,26422
1986,AZ,5,3317000,14489,,63278,307,143845,13892,221015,1425,,5614,21835
1987,AZ,5,3386000,14406,,55059,253,153296,14308,222663,1396,,4687,20742
1988,AZ,5,3466000,14758,,54773,294,167121,15914,237808,1345,,4750,21147
1989,AZ,5,3556000,14853,,59284,237,181574,24426,265284,1286,,4944,21320
2017,AZ,5,7016270,24207,1183.0,37627,416,147830,19058,204515,0,3581.0,7440,35644
2016,AZ,5,6908642,21804,1144.0,38216,389,150618,18483,207317,3290,3304.0,7045,32542
1979,AZ,5,2450000,8884,,48916,219,116976,12085,177977,1120,,4305,14528
1980,AZ,5,2715357,10909,,58527,279,132814,12852,204193,1227,,5258,17673
1990,AZ,5,3665228,16230,,61206,284,172375,31648,265229,1500,,5897,23911
1991,AZ,5,3750000,17056,,60281,291,159987,32291,252559,1590,,6215,25152
1994,AZ,5,4075000,20161,,60157,426,190649,43467,294273,1465,,6601,28653
1995,AZ,5,4218000,20909,,59762,439,207763,48830,316355,1418,,7329,30095
2015,AZ,5,6817565,18193,1190.0,38010,306,152388,16786,207184,2268,3109.0,6360,27968
1981,AZ,5,2793000,9830,,57655,227,127469,11451,196575,1064,,4961,16082
1983,AZ,5,2963000,9265,,49440,213,114721,10579,174740,1241,,3923,14642
1984,AZ,5,3053000,10199,,52327,238,118604,11739,182670,1316,,4003,15756
1992,AZ,5,3832000,17880,,54095,312,158053,31481,243629,1647,,5867,25706
1993,AZ,5,3936000,19903,,57684,339,172689,33998,264371,1488,,6412,28142
1996,AR,3,2510000,9032,,23925,219,73010,7855,104790,1046,,2864,13161
1997,AR,3,2523000,9131,,25568,250,72253,7938,105759,1098,,2814,13293
