State,County,MedianIncome
Alabama,cleburne,46069
Alabama,dale,56132
Alabama,tuscaloosa,58922
Alabama,talladega,43074
Alabama,monroe,36807
Alabama,mobile,52234
Alabama,conecuh,31966
Alabama,marion,41733
Alabama,marengo,48116
Alabama,cherokee,45998
Alabama,madison,75766
Alabama,russell,42730
Alabama,henry,54725
Alabama,pike,46574
Alabama,randolph,45076
Alabama,greene,31809
Alabama,colbert,50924
Alabama,shelby,82558
Alabama,tallapoosa,46839
Alabama,crenshaw,48903
Alabama,sumter,35594
Alabama,lawrence,48486
Alabama,geneva,43481
Alabama,perry,32108
Alabama,calhoun,50851
Alabama,etowah,47259
Alabama,chambers,41040
Alabama,jefferson,59095
Alabama,lamar,42470
Alabama,houston,52214
Alabama,baldwin,60864
Alabama,butler,38500
Alabama,dallas,38063
Alabama,pickens,38728
Alabama,dekalb,45213
Alabama,limestone,57858
Alabama,montgomery,56684
Alabama,lowndes,40783
Alabama,autauga,66349
Alabama,coosa,46777
Alabama,fayette,44034
Alabama,barbour,43462
Alabama,cullman,47103
Alabama,macon,41233
Alabama,clay,43598
Alabama,st. clair,57643
Alabama,elmore,65479
Alabama,escambia,36550
Alabama,hale,38048
Alabama,morgan,55536
Alabama,franklin,46536
Alabama,lauderdale,55673
Alabama,lee,61629
Alabama,clarke,45518
Alabama,winston,41113
Alabama,coffee,58898
Alabama,bullock,44933
Alabama,blount,52996
Alabama,bibb,43004
Alabama,washington county,50376
Alabama,jackson,47380
Alabama,wilcox,26739
Alabama,chilton,52092
Alabama,marshall,48952
Alabama,choctaw,45876
Alabama,covington,43822
Alabama,walker,46245
Alaska,north slope,82500
Alaska,dillingham census area,56089
Alaska,kenai peninsula,75689
Alaska,yukon-koyukuk census area,46875
Alaska,aleutians west census area,87159
Alaska,northwest arctic,57866
Alaska,wrangell,55286
Alaska,aleutians east,67750
Alaska,anchorage,90466
Alaska,bristol bay,96458
Alaska,skagway,77500
Alaska,sitka,78000
Alaska,prince of wales-hyder census area,53333
Alaska,hoonah-angoon census area,60000
Alaska,petersburg census area,84861
Alaska,haines,68207
Alaska,matanuska-susitna,81821
Alaska,denali,99091
Alaska,yakutat,80875
Alaska,bethel census area,53224
Alaska,lake and peninsula,53828
Alaska,nome census area,47078
Alaska,southeast fairbanks census area,66369
Alaska,juneau,95112
Alaska,kusilvak census area,40750
Alaska,valdez-cordova census area,88480
Alaska,fairbanks north star,82930
Alaska,kodiak island,73887
Alaska,ketchikan gateway,85638
Arizona,yavapai,53015
Arizona,yuma,44302
Arizona,cochise,55120
Arizona,pima,57757
Arizona,graham,50583
Arizona,apache,37095
Arizona,greenlee,48074
Arizona,navajo,43516
Arizona,gila,48958
Arizona,mohave,47136
Arizona,maricopa,63910
Arizona,coconino,59308
Arizona,pinal,55282
Arizona,santa cruz,41774
Arizona,la paz,42729
Arkansas,izard,39717
Arkansas,columbia,47472
Arkansas,pope,47074
Arkansas,madison,43373
Arkansas,jackson,38639
Arkansas,cross,48100
Arkansas,howard,40970
Arkansas,fulton,41720
Arkansas,nevada county,42500
Arkansas,st. francis,34705
Arkansas,desha,39937
Arkansas,miller,51790
Arkansas,poinsett,39616
Arkansas,clay,41121
Arkansas,monroe,35422
Arkansas,boone,47585
Arkansas,faulkner,65155
Arkansas,lincoln,40936
Arkansas,yell,41469
Arkansas,perry,50840
Arkansas,dallas,39681
Arkansas,marion,42333
Arkansas,ashley,45612
Arkansas,searcy,39444
Arkansas,little river,48406
Arkansas,sharp,40550
Arkansas,crawford,46113
Arkansas,prairie,43408
Arkansas,drew,39884
Arkansas,pulaski,58688
Arkansas,phillips,34684
Arkansas,clark,48735
Arkansas,scott,42333
Arkansas,franklin,43053
Arkansas,polk,38275
Arkansas,independence,44442
Arkansas,craighead,52466
Arkansas,ouachita,42354
Arkansas,garland,48388
Arkansas,lee,32986
Arkansas,hempstead,43407
Arkansas,stone,39665
Arkansas,benton,61706
Arkansas,woodruff,36902
Arkansas,washington county,54190
Arkansas,lonoke,60786
Arkansas,sebastian,50511
Arkansas,grant,58808
Arkansas,montgomery,39469
Arkansas,logan,46489
Arkansas,union,46952
Arkansas,arkansas county,50137
Arkansas,carroll,46669
Arkansas,cleburne,49059
Arkansas,sevier,44267
Arkansas,cleveland,47576
Arkansas,white,51449
Arkansas,van buren,42607
Arkansas,chicot,34451
Arkansas,baxter,45499
Arkansas,bradley,39659
Arkansas,johnson,37119
Arkansas,jefferson,48562
Arkansas,saline,66936
Arkansas,mississippi county,42286
Arkansas,randolph,45492
Arkansas,hot spring,49541
Arkansas,greene,48011
Arkansas,crittenden,48372
Arkansas,lawrence,42457
Arkansas,pike,37440
Arkansas,conway,46002
Arkansas,calhoun,44638
Arkansas,lafayette,38913
Arkansas,newton,37243
California,tehama,49018
California,mono,72237
California,contra costa,94208
California,san joaquin,59900
California,glenn,51705
California,del norte,51470
California,plumas,55183
California,calaveras,68401
California,san luis obispo,74885
