aggravated_assault,arson,burglary,homicide,larceny,motor_vehicle_theft,population,property_crime,rape_legacy,rape_revised,robbery,state_abbr,state_id,violent_crime,year
11281,,42485,364,94279,9126,3959000,145890,931,,3895,AL,2,16471,1983
11995,,39970,374,89198,9319,3990000,138487,1002,,3833,AL,2,17204,1984
12250,,40642,379,119992,12619,4468912,173253,1369,,5584,AL,2,19582,2001
12002,,42578,303,123932,13890,4478896,180400,1664,,5962,AL,2,19931,2002
11338,,43245,299,124039,14957,4503726,182241,1656,,6038,AL,2,19331,2003
11286,,44666,254,123650,14024,4525375,182340,1742,,6042,AL,2,19324,2004
11293,,43473,374,120780,13140,4548327,177393,1564,,6447,AL,2,19678,2005
10463,,44780,382,121451,15018,4599030,181249,1646,,7062,AL,2,19553,2006
11417,,45379,412,124465,14238,4627851,184082,1548,,7398,AL,2,20775,2007
11795,,50411,351,126539,13466,4661900,190416,1618,,7346,AL,2,21110,2008
13103,,48844,322,118072,11091,4708708,178007,1504,,6265,AL,2,21194,2009
11869,738.0,42484,275,115564,10780,4785401,168828,1355,,4864,AL,2,18363,2010
13591,795.0,51119,299,111411,10662,4803689,173192,1370,,4906,AL,2,20166,2011
15035,1040.0,47481,342,111523,9874,4817528,168878,1296,,5020,AL,2,21693,2012
13788,761.0,42410,346,108862,10563,4833996,161835,1449,2055.0,4645,AL,2,20834,2013
13744,1245.0,39723,276,104223,10141,4846411,154087,1425,2005.0,4702,AL,2,20727,2014
12686,,41612,396,88108,10395,4021000,140115,1079,,4237,AL,2,18398,1985
18902,703.0,31477,404,99842,12841,4874747,144160,0,2028.0,4217,AL,2,25551,2017
18869,1054.0,34045,407,97498,11716,4860545,143259,1916,1915.0,4687,AL,2,25878,2016
15194,,42821,444,123350,15632,4273000,181803,1397,,7124,AL,2,24159,1996
15626,,43786,426,127616,15407,4319000,186809,1396,,6931,AL,2,24379,1997
14791,,41965,354,120943,14871,4352000,177779,1443,,5698,AL,2,22286,1998
14266,,38648,345,119616,13134,4369862,171398,1513,,5297,AL,2,21421,1999
14107,,40331,329,127399,12809,4447100,180539,1482,,5702,AL,2,21620,2000
17169,,43586,475,120967,14741,4253000,179294,1350,,7900,AL,2,26894,1995
11793,,49531,417,104740,10777,3943000,165048,1026,,4417,AL,2,17653,1982
15960,770.0,35265,348,99182,10338,4853875,144785,1449,2037.0,4612,AL,2,22957,2015
9918,,48517,496,83791,12064,3769000,144372,1037,,4127,AL,2,15578,1979
10551,,58952,509,102029,12210,3861466,173191,1158,,5102,AL,2,17320,1980
11985,,56811,465,105471,11129,3916000,173411,1021,,4952,AL,2,18423,1981
16534,,46974,409,93396,10821,4053000,151191,1150,,4523,AL,2,22616,1986
16735,,48927,380,99260,10731,4083000,158918,1137,,4581,AL,2,22833,1987
16556,,50920,408,103282,11007,4127000,165209,1228,,4860,AL,2,23052,1988
17117,,47224,421,106771,12249,4118000,166244,1276,,5515,AL,2,24329,1989
21039,,44585,467,111336,14053,4040587,169974,1319,,5805,AL,2,28630,1990
26348,,51873,469,118151,14858,4089000,184882,1455,,6246,AL,2,34518,1991
27074,,49053,455,117801,14983,4136000,181837,1704,,6819,AL,2,36052,1992
24044,,45578,484,111878,14142,4187000,171598,1471,,6677,AL,2,32676,1993
19633,,44064,501,119951,14000,4219000,178015,1487,,7223,AL,2,28844,1994
2773,,3787,52,16654,2658,619500,23099,517,,566,AK,1,3908,1999
2540,,3899,27,16838,2350,626932,23087,497,,490,AK,1,3554,2000
2681,,3847,39,16695,2618,633630,23160,501,,514,AK,1,3735,2001
2594,,3908,33,17739,2471,641482,24118,511,,489,AK,1,3627,2002
2787,,3874,39,18051,2461,648280,24386,605,,446,AK,1,3877,2003
3117,,3773,37,16159,2240,657755,22172,558,,447,AK,1,4159,2004
3087,,4131,32,17249,2595,663253,23975,538,,537,AK,1,4194,2005
3462,,4155,36,17284,2536,670053,23975,512,,600,AK,1,4610,2006
3351,,3734,43,16929,2433,683478,23096,545,,581,AK,1,4520,2007
3356,,3237,27,15225,1628,686293,20090,447,,645,AK,1,4475,2008
3235,,3600,22,15251,1687,698473,20538,513,,654,AK,1,4424,2009
3379,178.0,3105,31,15535,1619,714146,20259,533,,594,AK,1,4537,2010
3374,222.0,2852,30,14854,1388,723860,19094,436,,576,AK,1,4416,2011
3169,187.0,2950,30,15565,1522,730307,20037,583,,630,AK,1,4412,2012
3264,,5118,45,20557,2992,607000,28667,398,,710,AK,1,4417,1996
3165,,4276,54,20780,2784,609000,27840,403,,648,AK,1,4270,1997
3021,,4098,41,18611,2607,614000,25316,421,,532,AK,1,4015,1998
4257,139.0,4171,62,17775,4258,739795,26204,0,863.0,951,AK,1,6133,2017
4011,144.0,4053,52,17766,3057,741522,24876,1053,1053.0,850,AK,1,5966,2016
3179,,5055,55,21891,3151,604000,30097,485,,937,AK,1,4656,1995
3671,182.0,3511,59,15249,2046,737709,20806,648,900.0,761,AK,1,5391,2015
3127,154.0,2917,34,16599,1695,737259,21211,657,925.0,623,AK,1,4709,2013
3243,145.0,3150,41,15445,1739,737046,20334,553,771.0,629,AK,1,4684,2014
1203,,5616,54,15076,2501,406000,23193,292,,445,AK,1,1994,1979
1270,,5545,39,14916,2469,440142,22930,250,,360,AK,1,1919,1980
1584,,5479,60,16310,2845,412000,24634,421,,472,AK,1,2537,1981
1691,,5204,81,16672,2603,438000,24479,374,,586,AK,1,2732,1982
1923,,5720,66,17085,3084,479000,25889,486,,465,AK,1,2940,1983
2045,,6184,58,18140,3144,500000,27468,458,,547,AK,1,3108,1984
2094,,6209,51,18220,3159,521000,27588,402,,484,AK,1,3031,1985
2142,,6204,46,20879,3224,534000,30307,388,,470,AK,1,3046,1986
1613,,5093,53,18195,2553,525000,25841,341,,384,AK,1,2391,1987
1983,,4321,29,15911,2334,513000,22566,296,,374,AK,1,2682,1988
1946,,4358,42,15811,2398,527000,22567,279,,356,AK,1,2623,1989
2021,,4919,41,17428,3110,550043,25457,401,,422,AK,1,2885,1990
2289,,5582,42,20375,3043,570000,29000,523,,645,AK,1,3499,1991
2614,,5170,44,20728,2918,587000,28816,579,,640,AK,1,3877,1992
3268,,4893,54,21201,2701,599000,28795,502,,733,AK,1,4557,1993
3302,,4848,38,21824,3275,606000,29947,418,,886,AK,1,4644,1994
18776,,55630,377,188300,41034,4428000,284964,1381,,7429,AZ,5,27963,1996
