index,COUNTY
LOS ANGELES,131
HARRIS,108
JEFFERSON,94
MONTGOMERY,78
COOK,75
MARICOPA,73
ORANGE,70
WASHINGTON,67
DALLAS,63
CLARK,62
TARRANT,54
FRANKLIN,54
MARION,50
HAMILTON,49
BEXAR,47
WAYNE,45
JACKSON,45
LAKE,41
SUFFOLK,41
MADISON,40
MIAMI-DADE,38
MIDDLESEX,38
SAN DIEGO,37
LINCOLN,35
DOUGLAS,35
PHILADELPHIA,34
ESSEX,34
SAN BERNARDINO,32
HILLSBOROUGH,32
KING,32
SHELBY,32
ALLEGHENY,32
SAN JUAN,31
JOHNSON,31
ST. LOUIS,30
EL PASO,30
OKLAHOMA,30
POLK,30
CUYAHOGA,29
NEW YORK,29
UNION,29
TRAVIS,28
BROWARD,28
MONROE,28
COLLIN,28
ALAMEDA,27
ERIE,27
PULASKI,26
FULTON,26
RICHLAND,25
FAYETTE,24
SALT LAKE,24
RIVERSIDE,24
MERCER,24
EAST BATON ROUGE,23
CUMBERLAND,23
GREENE,23
TULSA,23
ALLEN,22
DEKALB,22
MILWAUKEE,22
KINGS,22
KNOX,21
PIMA,21
BUTLER,21
NORFOLK,21
PALM BEACH,20
WARREN,20
LAFAYETTE,20
GRANT,20
ADAMS,20
CLAY,20
DELAWARE,20
BROWN,19
SACRAMENTO,19
RICHMOND,19
DENTON,18
PINELLAS,18
CASS,18
YORK,18
SAN FRANCISCO,18
WESTCHESTER,18
BALTIMORE CITY,17
OAKLAND,17
BERNALILLO,17
WILLIAMSON,17
DAVIDSON,17
HONOLULU,17
ORLEANS,17
HIDALGO,17
SANTA CLARA,17
MARSHALL,16
LANCASTER,16
LAWRENCE,16
DENVER,16
LEE,16
WORCESTER,16
CARROLL,16
CADDO,16
KERN,15
HARRISON,15
DISTRICT OF COLUMBIA,15
BRONX,15
PROVIDENCE,15
FRESNO,15
ST. TAMMANY,15
LUCAS,15
SCOTT,15
CALHOUN,15
PIERCE,15
DUVAL,15
ST. LOUIS CITY,15
NUECES,14
SUMMIT,14
BOONE,14
MECKLENBURG,14
SEDGWICK,14
CAMDEN,14
CRAWFORD,14
WASHOE,14
NASSAU,14
BENTON,13
CHEROKEE,13
FLOYD,13
SMITH,13
VENTURA,13
RAPIDES,13
HOWARD,13
TAYLOR,13
MORGAN,12
OUACHITA,12
HARTFORD,12
HENNEPIN,12
QUEENS,12
SONOMA,12
CONTRA COSTA,12
CAMERON,12
BRISTOL,12
STANISLAUS,12
GREENVILLE,12
KENT,12
MULTNOMAH,12
FORT BEND,12
BELL,12
CLINTON,12
POTTER,12
MORRIS,11
CHARLESTON,11
ADA,11
BREVARD,11
CHESTER,11
CALCASIEU,11
HENRY,11
SOMERSET,11
ESCAMBIA,11
SAN MATEO,11
NEW CASTLE,10
CLEVELAND,10
BERGEN,10
RANDOLPH,10
LEHIGH,10
SULLIVAN,10
HAMPDEN,10
SALINE,10
CHATHAM,10
TANGIPAHOA,10
PASCO,10
HANCOCK,10
ONEIDA,10
SAN JOAQUIN,10
UTAH,10
NEW HAVEN,10
MAHONING,10
COLUMBIA,10
STARK,10
SPOKANE,10
BUCKS,10
ST. CLAIR,10
FAIRFIELD,10
LUBBOCK,10
PLYMOUTH,9
BURLINGTON,9
BIBB,9
ROCKINGHAM,9
ATLANTIC,9
HINDS,9
OCEAN,9
VOLUSIA,9
SANTA BARBARA,9
PIKE,9
DANE,9
ARAPAHOE,9
GRAYSON,9
LOGAN,9
WAUKESHA,9
MARTIN,9
ANCHORAGE,9
LAUDERDALE,9
WINNEBAGO,9
HOUSTON,9
HARDIN,9
ST. JOSEPH,8
ALBANY,8
WICHITA,8
LIVINGSTON,8
BAY,8
MINNEHAHA,8
COCHISE,8
BUTTE,8
SNOHOMISH,8
HUMBOLDT,8
BALTIMORE,8
OSCEOLA,8
ST. CHARLES,8
DAUPHIN,8
LUZERNE,8
NEWTON,8
FAIRFAX,8
SAGINAW,8
LARIMER,8
JASPER,8
KANAWHA,8
ANDERSON,8
HUDSON,8
KENNEBEC,8
DUPAGE,8
GARFIELD,8
WOOD,8
LORAIN,8
MACON,8
