NAME,STATE,POPESTIMATE2018,Density
TX,798,28701845.0,2.78
CA,569,39557045.0,1.44
FL,350,21299325.0,1.64
OH,290,11689442.0,2.48
PA,279,12807060.0,2.18
NY,276,19542209.0,1.41
LA,261,4659978.0,5.60
GA,230,10519475.0,2.19
IL,226,12741080.0,1.77
IN,190,6691878.0,2.84
MI,185,9995915.0,1.85
MO,181,6126452.0,2.95
TN,176,6770010.0,2.60
KS,169,2911505.0,5.80
WI,169,5813568.0,2.91
OK,165,3943079.0,4.18
NC,157,10383620.0,1.51
NJ,150,8908520.0,1.68
IA,145,3156145.0,4.59
MN,144,5611179.0,2.57
VA,143,8517685.0,1.68
AZ,142,7171646.0,1.98
MA,136,6902149.0,1.97
AL,133,4887871.0,2.72
WA,133,7535591.0,1.76
MS,129,2986530.0,4.32
KY,128,4468402.0,2.86
AR,122,3013825.0,4.05
CO,119,5695564.0,2.09
NE,111,1929268.0,5.75
SC,108,5084127.0,2.12
SD,77,882235.0,8.73
NV,76,3034392.0,2.50
PR,75,3195153.0,2.35
OR,74,4190713.0,1.77
WV,71,1805832.0,3.93
MD,71,6042718.0,1.17
MT,69,1062305.0,6.50
UT,68,3161105.0,2.15
NM,62,2095428.0,2.96
ND,57,760077.0,7.50
ID,55,1754208.0,3.14
ME,52,1338404.0,3.89
CT,40,3572665.0,1.12
WY,37,577737.0,6.40
NH,36,1356458.0,2.65
AK,32,737438.0,4.34
HI,29,1420491.0,2.04
RI,20,1057315.0,1.89
VT,18,626299.0,2.87
DC,15,702455.0,2.14
DE,15,967171.0,1.55
VI,2,,nan
GU,2,,nan
AS,1,,nan
MP,1,,nan
PW,1,,nan
